# Secciones según ArcelorMittal
# -----------------------------
#
# 2016-02-01 Pedro Biel
#
# http://sections.arcelormittal.com/products-services/products-ranges.html
#
# 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
#
# Perfil,nominal,g,h,b,tw,tf,r,A,hi,d,O,pmin,pmax,AL,AG,Iy,Wely,Wply,iy,Avz,Iz,Welz,Wplz,iz,ss,It,Iw
# --,--,kN/m,mm,mm,mm,mm,mm,cm²,mm,mm,--,mm,mm,m²/m,m²/t,cm4,cm³,cm³,cm,cm²,cm4,cm³,cm³,cm,mm,cm6,cm6
#
HP,360x152,1.52,356.4,376,17.8,17.9,15.2,194,320.6,290.2,M27,106,270,2.155,14.18,43970,2468,2767,15.07,67.68,15880,844.5,1293,9.05,71.41,236.4,4543000
HP,360x174,1.74,361.4,378.5,20.3,20.4,15.2,222,320.6,290.2,M27,110,272,2.17,12.48,51010,2823,3186,15.18,77.41,18460,975.6,1497,9.13,78.91,348.5,5360000
HP,360x180,1.8,362.9,378.8,21.1,21.1,15.2,230,320.6,290.2,M27,110,272,2.173,12.06,53040,2923,3306,15.2,80.52,19140,1011,1552,9.13,81.11,387.2,5583000
HP,400x122,1.22,348,390,14,14,15,156,320,290,M27,102,284,2.202,17.99,34770,1998,2212,14.93,52.89,13850,710.3,1082,9.42,59.57,118.7,3860000
HP,400x140,1.4,352,392,16,16,15,179,320,290,M27,104,286,2.214,15.8,40270,2288,2547,15.02,60.49,16080,820.2,1252,9.49,65.57,175.3,4534000
HP,400x158,1.58,356,394,18,18,15,201,320,290,M27,106,288,2.226,14.08,45940,2581,2888,15.1,68.17,18370,932.4,1425,9.55,71.57,248,5241000
HP,400x176,1.76,360,396,20,20,15,224,320,290,M27,108,290,2.238,12.71,51770,2876,3235,15.19,75.93,20720,1047,1603,9.61,77.57,338.9,5982000
HP,400x194,1.94,364,398,22,22,15,248,320,290,M27,110,292,2.25,11.58,57760,3174,3588,15.28,83.77,23150,1163,1784,9.67,83.57,450.2,6759000
HP,400x213,2.13,368,400,24,24,15,271,320,290,M27,112,294,2.262,10.64,63920,3474,3947,15.37,91.69,25640,1282,1969,9.73,89.57,584.2,7574000
HP,400x231,2.31,372,402,26,26,15,294,320,290,M27,114,296,2.274,9.848,70260,3777,4312,15.45,99.69,28200,1403,2158,9.79,95.57,743.1,8425000
UB,127x76x13,0.13,127,76,4,7.6,7.6,16.52,111.8,96.6,0,0,0,0.537,41.41,473.4,74.56,84.15,5.35,6.43,55.74,14.67,22.58,1.84,28.1,2.8,1980
UB,152x89x16,0.16,152.4,88.7,4.5,7.7,7.6,20.32,137,121.8,0,0,0,0.638,39.97,834.3,109.5,123.3,6.41,8.18,89.75,20.24,31.18,2.1,28.8,3.55,4690
UB,178x102x19,0.19,177.8,101.2,4.8,7.9,7.6,24.26,162,146.8,M10,50,58,0.738,38.74,1356,152.5,171.3,7.48,9.85,136.7,27.02,41.59,2.37,29.5,4.42,9850
UB,203x102x23,0.231,203.2,101.8,5.4,9.3,7.6,29.4,184.6,169.4,M10,54,58,0.79,34.22,2105,207.2,234.1,8.46,12.38,163.9,32.19,49.75,2.36,32.9,7.02,15370
UB,203x133x25,0.251,203.2,133.2,5.7,7.8,7.6,31.97,187.6,172.4,M16,64,70,0.915,36.45,2340,230.3,257.7,8.56,12.82,307.6,46.19,70.94,3.1,30.2,6.1,29330
UB,203x133x30,0.3,206.8,133.9,6.4,9.6,7.6,38.21,187.6,172.4,M16,66,70,0.923,30.78,2896,280,314.4,8.71,14.58,384.7,57.45,88.22,3.17,34.5,10.43,37340
UB,254x102x22,0.22,254,101.6,5.7,6.8,7.6,28.02,240.4,225.2,M10,50,58,0.89,40.47,2841,223.7,259,10.07,15.62,119.3,23.49,37.27,2.06,28.2,4.35,18160
UB,254x102x25,0.252,257.2,101.9,6,8.4,7.6,32.04,240.4,225.2,M10,52,58,0.897,35.66,3415,265.5,305.5,10.32,16.7,148.7,29.18,46.01,2.15,31.7,6.56,22920
UB,254x102x28,0.283,260.4,102.2,6.3,10,7.6,36.08,240.4,225.2,M12,54,54,0.904,31.92,4005,307.6,352.8,10.54,17.79,178.5,34.94,54.85,2.22,35.2,9.66,27890
UB,254x146x31,0.311,251.4,146.1,6,8.6,7.6,39.68,234.2,219,M16,66,82,1.062,34.1,4413,351.1,393.1,10.55,16.37,447.5,61.26,94.13,3.36,32.1,8.68,65880
UB,254x146x37,0.37,256,146.4,6.3,10.9,7.6,47.17,234.2,219,M16,66,82,1.072,28.95,5537,432.6,483.2,10.83,17.59,570.6,77.96,119.4,3.48,37,15.37,85610
UB,254x146x43,0.43,259.6,147.3,7.2,12.7,7.6,54.77,234.2,219,M16,66,84,1.081,25.14,6544,504.1,566.3,10.93,20.2,677.4,91.97,141.1,3.52,41.5,23.97,103100
UB,305x102x25,0.248,305.1,101.6,5.8,7,7.6,31.6,291.1,275.9,M10,56,58,0.992,39.98,4455,292.1,342,11.87,18.85,122.9,24.2,38.81,1.97,28.7,4.98,27180
UB,305x102x28,0.282,308.7,101.8,6,8.8,7.6,35.88,291.1,275.9,M10,58,58,1,35.49,5366,347.6,402.9,12.23,19.83,155.4,30.53,48.45,2.08,32.5,7.51,34790
UB,305x102x33,0.328,312.7,102.4,6.6,10.8,7.6,41.83,291.1,275.9,M10,58,60,1.009,30.72,6501,415.8,480.8,12.47,22.06,194.1,37.91,60.04,2.15,37.1,12.29,44040
UB,305x127x37,0.37,304.4,123.4,7.1,10.7,8.9,47.18,283,265.2,M16,67,69,1.073,28.97,7171,471.1,539.4,12.33,23.44,336.2,54.49,85.41,2.67,38.93,14.96,72260
UB,305x127x42,0.419,307.2,124.3,8,12.1,8.9,53.4,283,265.2,M16,68,70,1.08,25.77,8196,533.6,613.5,12.39,26.44,388.8,62.55,98.41,2.7,42.63,21.42,84320
UB,305x127x48,0.481,311,125.3,9,14,8.9,61.23,283,265.2,M16,69,71,1.09,22.67,9575,615.7,710.7,12.5,29.9,461,73.59,116.1,2.74,47.43,32.18,101200
UB,305x165x40,0.403,303.4,165,6,10.2,8.9,51.32,283,265.2,M22,76,84,1.24,30.77,8503,560.5,623.1,12.87,20.09,764.4,92.65,141.7,3.86,36.83,14.74,164100
UB,305x165x46,0.461,306.6,165.7,6.7,11.8,8.9,58.75,283,265.2,M22,76,84,1.247,27.05,9899,645.7,720,12.98,22.53,895.7,108.1,165.5,3.9,40.73,22.2,194400
UB,305x165x54,0.54,310.4,166.9,7.9,13.7,8.9,68.77,283,265.2,M22,78,84,1.257,23.29,11700,753.6,846.1,13.04,26.56,1063,127.4,195.6,3.93,45.73,34.9,233600
UB,356x127x33,0.331,349,125.4,6,8.5,10.2,42.13,332,311.6,M12,62,74,1.17,35.38,8249,472.7,542.9,13.99,23.06,280.2,44.69,70.29,2.58,34.95,8.97,80970
UB,356x127x39,0.391,353.4,126,6.6,10.7,10.2,49.77,332,311.6,M12,62,74,1.18,30.21,10170,575.6,658.5,14.3,25.69,357.8,56.8,89.05,2.68,39.95,15.15,104700
UB,356x171x45,0.45,351.4,171.1,7,9.7,10.2,57.33,332,311.6,M22,82,90,1.356,30.13,12070,686.7,774.6,14.51,26.79,811.1,94.81,146.6,3.76,38.35,16.16,236400
UB,356x171x51,0.51,355,171.5,7.4,11.5,10.2,64.91,332,311.6,M22,82,90,1.364,26.76,14140,796.4,896,14.76,28.66,968.3,112.9,174.2,3.86,42.35,24,285200
UB,356x171x57,0.57,358,172.2,8.1,13,10.2,72.56,332,311.6,M22,82,90,1.371,24.07,16040,896,1010,14.87,31.49,1108,128.7,198.8,3.91,46.05,33.59,329200
UB,356x171x67,0.671,363.4,173.2,9.1,15.7,10.2,85.49,332,311.6,M22,84,92,1.384,20.62,19460,1071,1211,15.09,35.74,1362,157.3,243,3.99,52.45,55.9,410900
UB,406x140x39,0.39,398,141.8,6.4,8.6,10.2,49.65,380.8,360.4,M16,68,78,1.333,34.2,12510,628.6,723.7,15.87,27.57,409.8,57.8,90.85,2.87,35.55,10.99,154900
UB,406x140x46,0.46,403.2,142.2,6.8,11.2,10.2,58.64,380.8,360.4,M16,68,78,1.344,29.2,15690,778,887.6,16.35,29.83,538.1,75.68,118.1,3.03,41.15,19.07,206200
UB,406x178x54,0.541,402.6,177.7,7.7,10.9,10.2,68.95,380.8,360.4,M24,88,90,1.483,27.4,18720,930,1055,16.48,33.28,1021,114.9,178.3,3.85,41.45,23.5,391000
UB,406x178x60,0.601,406.4,177.9,7.9,12.8,10.2,76.52,380.8,360.4,M24,88,90,1.491,24.82,21600,1063,1199,16.8,34.6,1203,135.3,209,3.97,45.45,33.49,465200
UB,406x178x67,0.671,409.4,178.8,8.8,14.3,10.2,85.54,380.8,360.4,M24,88,90,1.499,22.32,24330,1189,1346,16.87,38.58,1365,152.7,236.6,3.99,49.35,46.4,531700
UB,406x178x74,0.742,412.8,179.5,9.5,16,10.2,94.51,380.8,360.4,M24,88,92,1.507,20.31,27310,1323,1501,17,41.85,1545,172.2,267,4.04,53.45,63.1,607100
UB,406x178x85,0.85,417,181,10.9,18.2,10.2,108.2,380.8,360.4,M24,88,94,1.519,17.88,31530,1512,1725,17.06,48.05,1803,199.3,310.1,4.08,59.02,93.24,715200
UB,457x152x52,0.523,449.8,152.4,7.6,10.9,10.2,66.64,428,407.6,M20,76,76,1.476,28.22,21370,950,1096,17.91,36.47,645,84.64,133.3,3.11,41.35,21.71,309700
UB,457x152x60,0.598,454.6,152.9,8.1,13.3,10.2,76.23,428,407.6,M20,76,76,1.487,24.85,25500,1122,1287,18.29,39.35,794.6,103.9,163.1,3.23,46.65,34.02,385800
UB,457x152x67,0.672,458,153.8,9,15,10.2,85.55,428,407.6,M20,78,78,1.496,22.27,28930,1263,1453,18.39,43.82,912.6,118.7,186.7,3.27,50.95,47.95,446200
UB,457x152x74,0.742,462,154.4,9.6,17,10.2,94.48,428,407.6,M20,78,78,1.505,20.29,32670,1414,1627,18.6,47.08,1047,135.6,213.1,3.33,55.55,66.18,516300
UB,457x152x82,0.821,465.8,155.3,10.5,18.9,10.2,104.5,428,407.6,M20,80,80,1.514,18.45,36590,1571,1811,18.71,51.67,1185,152.5,240.4,3.37,60.25,89.65,589100
UB,457x191x67,0.671,453.4,189.9,8.5,12.7,10.2,85.51,428,407.6,M27,90,90,1.632,24.31,29380,1296,1471,18.54,40.94,1452,152.9,237.3,4.12,45.85,37.54,703800
UB,457x191x74,0.743,457,190.4,9,14.5,10.2,94.63,428,407.6,M27,90,90,1.64,22.08,33320,1458,1653,18.76,43.68,1671,175.5,272.1,4.2,49.95,52.14,816600
UB,457x191x82,0.82,460,191.3,9.9,16,10.2,104.5,428,407.6,M27,92,92,1.648,20.09,37050,1611,1831,18.83,48.11,1871,195.6,303.9,4.23,53.85,69.72,920100
UB,457x191x89,0.893,463.4,191.9,10.5,17.7,10.2,113.8,428,407.6,M27,92,92,1.656,18.54,41020,1770,2014,18.99,51.3,2089,217.8,338.4,4.29,57.85,91.26,1035000
UB,457x191x98,0.983,467.2,192.8,11.4,19.6,10.2,125.3,428,407.6,M27,92,92,1.665,16.94,45730,1957,2232,19.11,55.92,2347,243.5,378.9,4.33,62.55,122.1,1173000
UB,457x191x106,1.06,469,194,12.6,20.6,10.2,134.7,428,407.6,M27,90,94,1.672,15.81,48790,2081,2385,19.04,61.34,2515,259.2,405.3,4.32,65.49,146.6,1260000
UB,533x165x66,0.66,525,165,8.9,11.4,13,83.77,502,476,M22,80,84,1.67,25.39,35100,1337,1563,20.47,50.13,857.3,103.9,166.2,3.2,46.93,33.29,562900
UB,533x165x74,0.74,529,166,9.7,13.6,13,95.28,502,476,M22,80,84,1.68,22.47,41100,1554,1810,20.77,54.98,1042,125.5,200.3,3.31,52.13,49.2,688600
UB,533x165x85,0.85,535,166,10.3,16.5,13,107.9,502,476,M22,82,84,1.691,19.96,48580,1816,2105,21.22,59.15,1264,152.2,241.8,3.42,58.53,74.55,845500
UB,533x210x82,0.822,528.3,208.8,9.6,13.2,12.7,104.7,501.9,476.5,M27,90,108,1.851,22.52,47540,1800,2059,21.31,54.19,2007,192.3,300.4,4.38,50.88,52.54,1328000
UB,533x210x92,0.921,533.1,209.3,10.1,15.6,12.7,117.4,501.9,476.5,M27,92,110,1.861,20.2,55230,2072,2360,21.69,57.61,2389,228.3,355.6,4.51,56.18,76.34,1596000
UB,533x210x101,1.01,536.7,210,10.8,17.4,12.7,128.7,501.9,476.5,M27,92,110,1.87,18.51,61520,2292,2612,21.87,61.89,2692,256.4,399.4,4.57,60.48,101.6,1811000
UB,533x210x109,1.09,539.5,210.8,11.6,18.8,12.7,138.9,501.9,476.5,M27,94,108,1.877,17.22,66820,2477,2828,21.94,66.56,2943,279.2,435.8,4.6,64.08,127.3,1989000
UB,533x210x122,1.22,544.5,211.9,12.7,21.3,12.7,155.4,501.9,476.5,M27,94,110,1.889,15.49,76040,2793,3196,22.12,73.24,3388,319.7,499.7,4.67,70.18,179.6,2312000
UB,533x210x138,1.38,549,214,14.7,23.6,13,176.2,501.9,476.5,M27,96,112,1.902,13.75,86160,3139,3617,22.1,84.98,3870,361.7,569.1,4.68,77.16,254,2660000
UB,610x178x82,0.82,599,178,10,12.8,13,104.4,573,547,M22,86,90,1.868,22.8,56030,1871,2199,23.17,63.4,1209,135.8,218.3,3.4,50.83,50.58,1034000
UB,610x178x92,0.92,603,179,10.9,15,13,117.6,573,547,M22,86,92,1.878,20.34,64680,2145,2515,23.45,69.44,1441,161,258.5,3.5,56.13,72.81,1239000
UB,610x229x101,1.012,602.6,227.6,10.5,14.8,12.7,128.9,573,547.6,M27,92,126,2.073,20.48,75780,2515,2881,24.24,66.86,2915,256.1,400.2,4.75,54.98,78.16,2512000
UB,610x229x113,1.13,607.6,228.2,11.1,17.3,12.7,143.9,573,547.6,M27,92,126,2.084,18.44,87320,2874,3281,24.63,71.3,3434,301,469.3,4.88,60.58,112.3,2985000
UB,610x229x125,1.251,612.2,229,11.9,19.6,12.7,159.3,573,547.6,M27,94,128,2.095,16.75,98610,3221,3676,24.88,76.88,3932,343.4,535.4,4.97,65.98,155.2,3444000
UB,610x229x140,1.399,617.2,230.2,13.1,22.1,12.7,178.2,573,547.6,M27,94,128,2.107,15.06,111800,3622,4142,25.05,84.96,4505,391.4,611.4,5.03,72.18,217.8,3978000
UB,610x229x153,1.53,623,229,14,24.9,12.7,195.7,573,547.6,M27,96,128,2.112,13.74,125200,4019,4602,25.29,91.66,4998,436.5,682.4,5.05,79.03,297.5,4457000
UB,610x305x149,1.491,612.4,304.8,11.8,19.7,16.5,190,573,540,M27,100,202,2.392,16.03,125900,4111,4594,25.74,78.78,9308,610.7,937.3,7,70.53,200.4,8165000
UB,610x305x179,1.79,620.2,307.1,14.1,23.6,16.5,228.1,573,540,M27,104,206,2.412,13.47,153000,4935,5547,25.9,94.25,11410,743,1144,7.07,80.63,341.6,10140000
UB,610x305x238,2.381,635.8,311.4,18.4,31.4,16.5,303.3,573,540,M27,108,210,2.452,10.3,209500,6589,7486,26.28,123.9,15840,1017,1574,7.23,100.5,790.6,14430000
UB,686x254x125,1.252,677.9,253,11.7,16.2,15.2,159.5,645.5,615.1,M27,98,152,2.318,18.52,118000,3481,3994,27.2,84.33,4383,346.5,542.4,5.24,61.91,118.3,4786000
UB,686x254x140,1.401,683.5,253.7,12.4,19,15.2,178.4,645.5,615.1,M27,100,152,2.331,16.64,136300,3987,4558,27.64,90.16,5183,408.6,638.2,5.39,68.21,170.3,5708000
UB,686x254x152,1.524,687.5,254.5,13.2,21,15.2,194.1,645.5,615.1,M27,100,152,2.341,15.36,150400,4374,5000,27.83,96.35,5784,454.5,710.2,5.46,73.01,221.3,6407000
UB,686x254x170,1.702,692.9,255.8,14.5,23.7,15.2,216.8,645.5,615.1,M27,102,154,2.354,13.83,170300,4916,5631,28.03,106.2,6630,518.4,811.4,5.53,79.71,309.8,7402000
UB,686x254x192,1.92,702,254,15.5,27.9,15.2,243.8,645.9,615.1,M27,102,152,2.363,12.35,197900,5639,6457,28.49,114.8,7643,601.8,941,5.6,88.87,463.2,8657000
UB,762x267x134,1.339,750,264.4,12,15.5,16.5,170.6,719,686,M27,102,158,2.505,18.71,150700,4018,4644,29.72,95.59,4788,362.2,569.9,5.3,62.33,122.3,6440000
UB,762x267x147,1.469,754,265.2,12.8,17.5,16.5,187.2,719,686,M27,104,164,2.515,17.11,168500,4470,5156,30,102.4,5455,411.4,647.2,5.4,67.13,162.2,7377000
UB,762x267x173,1.73,762.2,266.7,14.3,21.6,16.5,220.4,719,686,M27,104,164,2.534,14.65,205300,5387,6198,30.52,115.4,6850,513.7,807.5,5.58,76.83,270.3,9364000
UB,762x267x197,1.968,769.8,268,15.6,25.4,16.5,250.6,719,686,M27,106,166,2.552,12.97,240000,6234,7167,30.94,126.8,8175,610.1,958.6,5.71,85.73,407.3,11290000
UB,762x267x220,2.2,779,266,16.5,30,16.5,280.7,719,686,M27,106,164,2.56,11.62,278200,7143,8198,31.48,136.3,9440,709.9,1113,5.8,96.42,609,13200000
UB,838x292x176,1.759,834.9,291.7,14,18.8,17.8,224,797.3,761.7,M27,106,190,2.778,15.8,246000,5893,6808,33.14,123.7,7799,534.7,841.9,5.9,72.45,226.2,12950000
UB,838x292x194,1.938,840.7,292.4,14.7,21.7,17.8,246.8,797.3,761.7,M27,108,190,2.791,14.4,279200,6641,7640,33.63,130.8,9066,620.1,973.8,6.06,78.95,309.6,15160000
UB,838x292x226,2.265,850.9,293.8,16.1,26.8,17.8,288.6,797.3,761.7,M27,108,192,2.814,12.42,339700,7985,9155,34.31,144.9,11360,773.3,1212,6.27,90.55,516.5,19230000
UB,838x292x251,2.51,859,292,17,31,17.8,319.3,797.3,761.7,M27,108,190,2.821,11.25,386500,8999,10300,34.79,154.7,12900,883.6,1383,6.36,100.1,737.6,22050000
UB,914x305x201,2.009,903,303.3,15.1,20.2,19.1,255.9,862.6,824.4,M27,110,202,2.956,14.72,325300,7204,8351,35.65,144.2,9423,621.4,982,6.07,77.88,297.9,18300000
UB,914x305x224,2.242,910.4,304.1,15.9,23.9,19.1,285.6,862.6,824.4,M27,110,202,2.973,13.26,376400,8269,9535,36.3,153.2,11240,739,1163,6.27,86.08,427.2,22010000
UB,914x305x238,2.38,915,305,16.5,25.9,19,303.5,862.8,824.8,M27,112,200,2.984,12.53,406400,8883,10230,36.59,159.6,12290,805.6,1267,6.36,90.56,518.8,24200000
UB,914x305x253,2.534,918.4,305.5,17.3,27.9,19.1,322.8,862.6,824.4,M27,112,204,2.991,11.8,436300,9501,10940,36.76,167.8,13300,870.8,1371,6.42,95.48,630.5,26280000
UB,914x305x271,2.71,923,307,18.4,30,19,346.1,862.8,824.8,M27,114,202,3.005,11.06,471600,10220,11780,36.91,178.8,14520,945.8,1491,6.48,100.7,775,28840000
UB,914x305x289,2.891,926.6,307.7,19.5,32,19.1,368.3,862.6,824.4,M27,114,206,3.012,10.42,504200,10880,12570,37,189.8,15600,1014,1601,6.51,105.9,933.6,31090000
UB,914x305x313,3.13,932,309,21.1,34.5,19,398.4,862.8,824.8,M27,118,204,3.025,9.673,548200,11760,13630,37.1,205.6,17040,1103,1748,6.54,112.4,1171,34160000
UB,914x305x345,3.45,943,308,22.1,39.9,19,439.7,862.8,824.8,M27,118,202,3.041,8.812,625600,13270,15350,37.72,217.8,19520,1267,2003,6.66,124.2,1658,39620000
UB,914x305x381,3.81,951,310,24.4,43.9,19,485.9,862.8,824.8,M27,120,204,3.061,8.024,696800,14650,17020,37.87,241.1,21910,1414,2243,6.72,134.5,2213,44840000
UB,914x305x425,4.25,961,313,26.9,49,19,542,862.8,824.8,M27,122,208,3.088,7.257,788200,16400,19130,38.13,267,25190,1610,2562,6.82,147.2,3054,52070000
UB,914x305x474,4.74,971,316,30,54.1,19,603.9,862.8,824.8,M27,126,210,3.113,6.568,885700,18240,21390,38.3,298.7,28660,1814,2901,6.89,160.5,4147,59800000
UB,914x305x521,5.21,981,319,33,58.9,19,663.7,862.8,824.8,M27,128,214,3.139,6.025,982400,20030,23610,38.47,329.8,32140,2015,3238,6.96,173.1,5405,67740000
UB,914x305x576,5.76,993,322,36.1,65,19,733.2,862.8,824.8,M27,132,216,3.169,5.506,1102000,22190,26280,38.76,362.8,36520,2268,3658,7.06,188.4,7227,77870000
UB,920x420x344,3.44,927,418,19.3,32,19,437.2,862.8,824.8,M27,114,312,3.455,10.07,645000,13920,15700,38.41,188,39010,1867,2880,9.45,105.6,1159,78120000
UB,920x420x368,3.68,931,419,20.3,34.3,19,465.6,862.8,824.8,M27,116,314,3.465,9.48,692200,14870,16790,38.56,198.2,42120,2010,3104,9.51,111.2,1408,84670000
UB,920x420x390,3.9,936,420,21.3,36.6,19,494.3,862.8,824.8,M27,118,314,3.477,8.96,741700,15850,17920,38.74,208.6,45270,2156,3331,9.57,116.8,1691,91550000
UB,920x420x420,4.2,943,422,22.5,39.9,19,534.1,862.8,824.8,M27,118,316,3.496,8.34,813300,17250,19530,39.02,221.5,50070,2373,3667,9.68,124.6,2151,102100000
UB,920x420x449,4.49,948,423,24,42.7,19,571.4,862.8,824.8,M27,122,318,3.507,7.82,874700,18450,20950,39.13,236.6,53970,2552,3949,9.72,131.7,2627,110600000
UB,920x420x491,4.91,957,422,25.9,47,19,623.3,862.8,824.8,M27,124,316,3.518,7.189,966300,20200,23000,39.37,256.6,59000,2796,4335,9.73,142.2,3441,122200000
UB,920x420x537,5.37,965,425,28.4,51.1,19,682.5,862.8,824.8,M27,128,320,3.541,6.609,1066000,22080,25270,39.51,282.1,65550,3085,4795,9.8,152.9,4447,136900000
UB,920x420x588,5.88,975,427,31,55.9,19,748.1,862.8,824.8,M27,130,322,3.563,6.068,1181000,24230,27840,39.74,309.3,72760,3408,5310,9.86,165.1,5859,153200000
UB,920x420x656,6.56,987,431,34.5,62,19,835.3,862.8,824.8,M27,134,320,3.596,5.485,1335000,27060,31270,39.98,345.8,83040,3853,6022,9.97,180.8,7950,177600000
UB,920x420x725,7.25,999,434,38.1,68.1,19,922.9,862.8,824.8,M27,138,323,3.625,5.004,1492000,29880,34740,40.21,383.6,93200,4295,6734,10.05,196.6,10570,201900000
UB,920x420x787,7.87,1011,437,40.9,73.9,19,1002,862.8,824.8,M27,140,326,3.656,4.647,1646000,32560,38010,40.53,414.5,103300,4728,7425,10.15,211,13430,226800000
UB,920x420x970,9.7,1043,446,50,89.9,19,1237,862.8,824.8,M27,150,334,3.737,3.85,2100000,40270,47660,41.21,513.8,133900,6002,9490,10.4,252.1,24320,304000000
UB,920x420x1077,10.77,1061,451,55,99.1,19,1372,863.2,825.2,M27,154,340,3.784,3.514,2377000,44790,53390,41.63,570,152700,6773,10740,10.55,275.5,33170,350800000
UB,920x420x1194,11.94,1081,457,60.5,109,19,1522,863.2,825.2,M27,160,346,3.837,3.212,2694000,49830,59830,42.08,632.7,175000,7660,12180,10.72,300.8,44370,409700000
UB,920x420x1269,12.69,1093,461,64,115.1,19,1617,863.2,825.2,M27,164,350,3.87,3.049,2900000,53040,63960,42.35,672.9,189900,8237,13130,10.84,316.5,52500,449700000
UB,920x420x1377,13.77,1093,473,76.7,115.1,19,1754,863.2,825.2,M27,176,362,3.893,2.827,3034000,55500,67680,41.59,797.2,206300,8723,14160,10.85,329.2,61190,485700000
UB,1000x400x296,2.96,982,400,16.5,27.1,30,377.6,928.1,868.1,M27,134,294,3.479,11.74,620300,12630,14260,40.53,181.5,28960,1448,2243,8.76,105.8,762.6,65900000
UB,1000x400x321,3.21,990,400,16.5,31,30,408.8,928.1,868.1,M27,134,294,3.495,10.89,696400,14070,15800,41.27,184.6,33120,1656,2555,9,113.6,1021,76030000
UB,1000x400x371,3.71,1000,400,19,36.1,30,472.8,928.1,868.1,M27,136,294,3.51,9.458,813700,16270,18360,41.49,212.5,38580,1929,2984,9.03,126.3,1575,89440000
UB,1000x400x412,4.12,1008,402,21.1,40,30,525.1,928.1,868.1,M27,142,296,3.53,8.564,910500,18070,20460,41.64,236,43400,2160,3349,9.09,136.2,2134,101500000
UB,1000x400x443,4.43,1012,402,23.6,41.9,30,563.7,928.1,868.1,M27,144,296,3.533,7.985,966500,19100,21780,41.41,261.8,45500,2264,3529,8.98,142.5,2545,106700000
UB,1000x400x483,4.83,1020,404,25.4,46,30,615.1,928.1,868.1,M27,146,298,3.554,7.36,1067000,20930,23920,41.66,282.7,50710,2510,3919,9.08,152.5,3311,119900000
UB,1000x400x539,5.39,1030,407,28.4,51.1,30,687.2,928.1,868.1,M27,150,302,3.58,6.636,1203000,23350,26820,41.83,316.4,57630,2832,4436,9.16,165.7,4546,137600000
UB,1000x400x554,5.54,1032,408,29.5,52,30,705.8,928.1,868.1,M27,150,296,3.585,6.471,1232000,23880,27500,41.79,328,59100,2897,4547,9.15,168.6,4860,141300000
UB,1000x400x591,5.91,1040,409,31,55.9,30,752.7,928.1,868.1,M27,152,304,3.602,6.097,1331000,25600,29530,42.05,346.3,64010,3130,4916,9.22,177.9,5927,154300000
UB,1000x400x642,6.42,1048,412,34,60,30,817.6,928.1,868.1,M27,154,300,3.624,5.647,1451000,27680,32100,42.12,379.6,70280,3412,5379,9.27,189.1,7440,170700000
UB,1000x400x748,7.48,1068,417,39,70,30,953.4,928.1,868.1,M27,160,304,3.674,4.909,1732000,32430,37880,42.62,438.9,85110,4082,6459,9.45,214.1,11670,210600000
UB,1000x400x883,8.83,1092,424,45.5,82,30,1125,928.1,868.1,M27,166,312,3.737,4.231,2096000,38390,45260,43.16,516.5,105000,4952,7874,9.66,244.6,18750,265700000
UB,1000x400x976,9.76,1108,428,50,89.9,30,1243,928.1,868.1,M27,172,316,3.776,3.875,2349000,42400,50300,43.5,570.7,118500,5538,8839,9.77,264.9,24770,304400000
UB,1016x305x222,2.22,970,300,16,21.1,30,282.8,928.1,868.1,M27,134,194,3.056,13.77,407700,8405,9803,37.97,172.2,9546,636.4,1020,5.81,93.35,406,21370000
UB,1016x305x249,2.49,980,300,16.5,26,30,316.8,928.1,868.1,M27,134,194,3.075,12.37,481100,9818,11350,38.97,180.7,11750,783.6,1245,6.09,103.6,584.4,26620000
UB,1016x305x272,2.72,990,300,16.5,31,30,346.8,928.1,868.1,M27,134,194,3.095,11.37,553800,11190,12820,39.96,184.6,14000,933.6,1470,6.35,113.6,822.4,32070000
UB,1016x305x314,3.14,1000,300,19.1,35.9,30,400.4,928.1,868.1,M27,136,194,3.11,9.895,644200,12880,14850,40.11,213.4,16230,1082,1713,6.37,126,1252,37540000
UB,1016x305x350,3.5,1008,302,21.1,40,30,445.1,928.1,868.1,M27,140,196,3.13,8.958,723000,14340,16590,40.3,236,18460,1223,1941,6.44,136.2,1707,43020000
UB,1016x305x393,3.93,1016,303,24.4,43.9,30,500.2,928.1,868.1,M27,142,198,3.144,8.006,807700,15900,18540,40.18,271.3,20500,1353,2168,6.4,147.3,2332,48080000
UB,1016x305x415,4.15,1020,304,26,46,30,528.7,928.1,868.1,M27,144,198,3.152,7.596,853100,16730,19570,40.17,288.6,21710,1428,2298,6.41,153.1,2713,51080000
UB,1016x305x438,4.38,1026,305,26.9,49,30,556.3,928.1,868.1,M27,146,200,3.167,7.252,909200,17720,20750,40.43,299.9,23360,1531,2463,6.48,160,3190,55290000
UB,1016x305x494,4.94,1036,309,31,54,30,629.1,928.1,868.1,M27,148,204,3.194,6.468,1028000,19840,23410,40.42,344.5,26820,1736,2818,6.53,174.1,4433,64010000
UB,1016x305x584,5.84,1056,314,36,64,30,743.7,928.1,868.1,M27,154,208,3.244,5.557,1246000,23600,28040,40.93,403.2,33430,2130,3475,6.7,199.1,7230,81240000
