# Secciones según ArcelorMittal
# -----------------------------
#
# 2016-02-01 Pedro Biel
#
# http://sections.arcelormittal.com/products-services/products-ranges.html
#
# 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
#
# Perfil,nominal,g,h,b,tw,tf,r,A,hi,d,O,pmin,pmax,AL,AG,Iy,Wely,Wply,iy,Avz,Iz,Welz,Wplz,iz,ss,It,Iw
# --,--,kN/m,mm,mm,mm,mm,mm,cm²,mm,mm,--,mm,mm,m²/m,m²/t,cm4,cm³,cm³,cm,cm²,cm4,cm³,cm³,cm,mm,cm6,cm6
#
IPEV,600,1.84,618,228,18,28,24,233.8,562,514,M27,118,126,2.071,11.28,141580,4581,5324,24.6,124,5569,488,780,4.88,102,506,4846000
IPE,750x134,1.34,750,264,12,15.5,17,171,719,685,M27,102,158,2.505,18.71,150700,4018,4644,29.7,95.6,4788,362,570,5.3,62.3,122,6440000
IPE,750x147,1.47,753,265,13.2,17,17,188,719,685,M27,104,164,2.51,17.06,166100,4411,5110,29.8,105,5289,399,631,5.31,67.1,162,7141000
IPE,750x173,1.73,762,267,14.4,21.6,17,221,719,685,M27,104,166,2.534,14.58,205800,5402,6218,30.5,116,6873,515,810,5.57,77.5,274,9391000
IPE,750x196,1.96,770,268,15.6,25.4,17,251,719,685,M27,106,166,2.552,12.96,240300,6241,7174,31,127,8175,610,959,5.71,86.3,409,11290000
IPE,750x220,2.2,779,266,16.5,30,17,280.7,719.1,685.1,M27,106,164,2.56,11.62,278200,7143,8198,31.48,136.3,9440,709.9,1113,5.8,96.42,609,13200000
HEAA,100,0.122,91,100,4.2,5.5,12,15.6,80,56,M10,54,58,0.553,45.17,236.5,51.98,58.36,3.89,6.15,92.06,18.41,28.44,2.43,29.26,2.51,1680
HEA,100,0.167,96,100,5,8,12,21.2,80,56,M10,54,58,0.561,33.68,349.2,72.76,83.01,4.06,7.56,133.8,26.76,41.14,2.51,35.06,5.24,2580
HEB,100,0.204,100,100,6,10,12,26,80,56,M10,56,58,0.567,27.76,449.5,89.91,104.2,4.16,9.04,167.3,33.45,51.42,2.53,40.06,9.25,3380
HEC,100,0.309,110,103,9,15,12,39.3,80,56,M10,59,61,0.593,19.23,758.7,137.9,165.8,4.39,13.39,274.4,53.28,82.08,2.64,53.06,29.3,6160
HEM,100,0.418,120,106,12,20,12,53.2,80,56,M10,62,64,0.619,14.82,1143,190.4,235.8,4.63,18.04,399.2,75.31,116.3,2.74,66.06,68.21,9930
HEAA,120,0.146,109,120,4.2,5.5,12,18.6,98,74,M12,58,68,0.669,45.94,413.4,75.85,84.12,4.72,6.9,158.8,26.47,40.62,2.93,29.26,2.78,4240
HEA,120,0.199,114,120,5,8,12,25.3,98,74,M12,58,68,0.677,34.06,606.2,106.3,119.5,4.89,8.46,230.9,38.48,58.85,3.02,35.06,5.99,6470
HEB,120,0.267,120,120,6.5,11,12,34,98,74,M12,60,68,0.686,25.71,864.4,144.1,165.2,5.04,10.96,317.5,52.92,80.97,3.06,42.56,13.84,9410
HEC,120,0.392,130,123,9.5,16,12,49.9,98,74,M12,63,72,0.712,18.19,1388,213.6,252.9,5.27,15.91,497.7,80.92,124.2,3.16,55.56,40.96,16120
HEM,120,0.521,140,126,12.5,21,12,66.4,98,74,M12,66,74,0.738,14.16,2018,288.2,350.6,5.51,21.15,702.8,111.6,171.6,3.25,68.56,91.66,24790
HEAA,140,0.181,128,140,4.3,6,12,23,116,92,M16,64,76,0.787,43.53,719.5,112.4,123.8,5.59,7.92,274.8,39.26,59.93,3.45,30.36,3.54,10210
HEA,140,0.247,133,140,5.5,8.5,12,31.4,116,92,M16,64,76,0.794,32.21,1033,155.4,173.5,5.73,10.12,389.3,55.62,84.85,3.52,36.56,8.13,15060
